N3848	host-80-3-145-109.not-set-yet.virginmedia.net
N6291	uddi-cmts-19-ge333.network.virginmedia.net
N6291	uddi-cmts-19-ge334.network.virginmedia.net

N6292	ely0-cmts-06-gigaether-00.network.virginmedia.net
N6292	ely0-cmts-06-gigaether-01.network.virginmedia.net
N6292	ely0-cmts-06-gigaether-10.network.virginmedia.net
N6292	ely0-cmts-06-gigaether-11.network.virginmedia.net
N6292	ely0-cmts-06-gigaether-140.network.virginmedia.net
N6292	ely0-cmts-06-gigaether-141.network.virginmedia.net
N6292	ely0-cmts-06-gigaether-150.network.virginmedia.net
N6292	ely0-cmts-06-gigaether-151.network.virginmedia.net

N6293	ely0-cmts-07-gigaether-72.network.virginmedia.net
N6293	ely0-cmts-07-gigaether-73.network.virginmedia.net
N6293	ely0-cmts-07-gigaether-74.network.virginmedia.net
N6293	ely0-cmts-07-gigaether-75.network.virginmedia.net
N6293	ely0-cmts-07-gigaether-82.network.virginmedia.net
N6293	ely0-cmts-07-gigaether-83.network.virginmedia.net
N6293	ely0-cmts-07-gigaether-84.network.virginmedia.net
N6293	ely0-cmts-07-gigaether-85.network.virginmedia.net

N6294	stev-cmts-07-gigaether-00.network.virginmedia.net
N6294	stev-cmts-07-gigaether-01.network.virginmedia.net
N6294	stev-cmts-07-gigaether-10.network.virginmedia.net
N6294	stev-cmts-07-gigaether-11.network.virginmedia.net
N6294	stev-cmts-07-gigaether-140.network.virginmedia.net
N6294	stev-cmts-07-gigaether-141.network.virginmedia.net
N6294	stev-cmts-07-gigaether-150.network.virginmedia.net
N6294	stev-cmts-07-gigaether-151.network.virginmedia.net

N6295	sund-cmts-10-gigaether-00.network.virginmedia.net
N6295	sund-cmts-10-gigaether-01.network.virginmedia.net
N6295	sund-cmts-10-gigaether-10.network.virginmedia.net
N6295	sund-cmts-10-gigaether-11.network.virginmedia.net
N6295	sund-cmts-10-gigaether-140.network.virginmedia.net
N6295	sund-cmts-10-gigaether-141.network.virginmedia.net
N6295	sund-cmts-10-gigaether-150.network.virginmedia.net
N6295	sund-cmts-10-gigaether-151.network.virginmedia.net

N6296	stkn-cmts-14-ge130.network.virginmedia.net
N6296	stkn-cmts-14-ge131.network.virginmedia.net
N6296	stkn-cmts-14-ge132.network.virginmedia.net
N6296	stkn-cmts-14-ge133.network.virginmedia.net
N6296	stkn-cmts-14-ge330.network.virginmedia.net
N6296	stkn-cmts-14-ge331.network.virginmedia.net
N6296	stkn-cmts-14-ge332.network.virginmedia.net
N6296	stkn-cmts-14-ge333.network.virginmedia.net

N6297	stre-cmts-06-gigaether-00.network.virginmedia.net
N6297	stre-cmts-06-gigaether-01.network.virginmedia.net
N6297	stre-cmts-06-gigaether-10.network.virginmedia.net
N6297	stre-cmts-06-gigaether-11.network.virginmedia.net
N6297	stre-cmts-06-gigaether-140.network.virginmedia.net
N6297	stre-cmts-06-gigaether-141.network.virginmedia.net
N6297	stre-cmts-06-gigaether-150.network.virginmedia.net
N6297	stre-cmts-06-gigaether-151.network.virginmedia.net

N6298	bbrg-cmts-04-gigaether-72.network.virginmedia.net
N6298	bbrg-cmts-04-gigaether-73.network.virginmedia.net
N6298	bbrg-cmts-04-gigaether-74.network.virginmedia.net
N6298	bbrg-cmts-04-gigaether-75.network.virginmedia.net
N6298	bbrg-cmts-04-gigaether-82.network.virginmedia.net
N6298	bbrg-cmts-04-gigaether-83.network.virginmedia.net
N6298	bbrg-cmts-04-gigaether-84.network.virginmedia.net
N6298	bbrg-cmts-04-gigaether-85.network.virginmedia.net

N6299	ruth-cmts-07-gigaether-72.network.virginmedia.net
N6299	ruth-cmts-07-gigaether-73.network.virginmedia.net
N6299	ruth-cmts-07-gigaether-74.network.virginmedia.net
N6299	ruth-cmts-07-gigaether-75.network.virginmedia.net
N6299	ruth-cmts-07-gigaether-82.network.virginmedia.net
N6299	ruth-cmts-07-gigaether-83.network.virginmedia.net
N6299	ruth-cmts-07-gigaether-84.network.virginmedia.net
N6299	ruth-cmts-07-gigaether-85.network.virginmedia.net

N6300	ruth-cmts-08-gigaether-00.network.virginmedia.net
N6300	ruth-cmts-08-gigaether-01.network.virginmedia.net
N6300	ruth-cmts-08-gigaether-10.network.virginmedia.net
N6300	ruth-cmts-08-gigaether-11.network.virginmedia.net
N6300	ruth-cmts-08-gigaether-140.network.virginmedia.net
N6300	ruth-cmts-08-gigaether-141.network.virginmedia.net
N6300	ruth-cmts-08-gigaether-150.network.virginmedia.net
N6300	ruth-cmts-08-gigaether-151.network.virginmedia.net

N6301	cowc-cmts-06-gigaether-72.network.virginmedia.net
N6301	cowc-cmts-06-gigaether-73.network.virginmedia.net
N6301	cowc-cmts-06-gigaether-74.network.virginmedia.net
N6301	cowc-cmts-06-gigaether-75.network.virginmedia.net
N6301	cowc-cmts-06-gigaether-82.network.virginmedia.net
N6301	cowc-cmts-06-gigaether-83.network.virginmedia.net
N6301	cowc-cmts-06-gigaether-84.network.virginmedia.net
N6301	cowc-cmts-06-gigaether-85.network.virginmedia.net

N6302	grnk-cmts-06-gigaether-72.network.virginmedia.net
N6302	grnk-cmts-06-gigaether-73.network.virginmedia.net
N6302	grnk-cmts-06-gigaether-74.network.virginmedia.net
N6302	grnk-cmts-06-gigaether-75.network.virginmedia.net
N6302	grnk-cmts-06-gigaether-82.network.virginmedia.net
N6302	grnk-cmts-06-gigaether-83.network.virginmedia.net
N6302	grnk-cmts-06-gigaether-84.network.virginmedia.net
N6302	grnk-cmts-06-gigaether-85.network.virginmedia.net

N6303	john-cmts-04-gigaether-72.network.virginmedia.net
N6303	john-cmts-04-gigaether-73.network.virginmedia.net
N6303	john-cmts-04-gigaether-74.network.virginmedia.net
N6303	john-cmts-04-gigaether-75.network.virginmedia.net
N6303	john-cmts-04-gigaether-82.network.virginmedia.net
N6303	john-cmts-04-gigaether-83.network.virginmedia.net
N6303	john-cmts-04-gigaether-84.network.virginmedia.net
N6303	john-cmts-04-gigaether-85.network.virginmedia.net

N6304	kemp-cmts-07-gigaether-00.network.virginmedia.net
N6304	kemp-cmts-07-gigaether-01.network.virginmedia.net
N6304	kemp-cmts-07-gigaether-10.network.virginmedia.net
N6304	kemp-cmts-07-gigaether-11.network.virginmedia.net
N6304	kemp-cmts-07-gigaether-140.network.virginmedia.net
N6304	kemp-cmts-07-gigaether-141.network.virginmedia.net
N6304	kemp-cmts-07-gigaether-150.network.virginmedia.net
N6304	kemp-cmts-07-gigaether-151.network.virginmedia.net

N6305	hatf-cmts-08-gigaether-00.network.virginmedia.net
N6305	hatf-cmts-08-gigaether-01.network.virginmedia.net
N6305	hatf-cmts-08-gigaether-10.network.virginmedia.net
N6305	hatf-cmts-08-gigaether-11.network.virginmedia.net
N6305	hatf-cmts-08-gigaether-140.network.virginmedia.net
N6305	hatf-cmts-08-gigaether-141.network.virginmedia.net
N6305	hatf-cmts-08-gigaether-150.network.virginmedia.net
N6305	hatf-cmts-08-gigaether-151.network.virginmedia.net

N6306	duns-cmts-06-gigaether-00.network.virginmedia.net
N6306	duns-cmts-06-gigaether-01.network.virginmedia.net
N6306	duns-cmts-06-gigaether-10.network.virginmedia.net
N6306	duns-cmts-06-gigaether-11.network.virginmedia.net
N6306	duns-cmts-06-gigaether-140.network.virginmedia.net
N6306	duns-cmts-06-gigaether-141.network.virginmedia.net
N6306	duns-cmts-06-gigaether-150.network.virginmedia.net
N6306	duns-cmts-06-gigaether-151.network.virginmedia.net

N6307	kemp-cmts-06-gigaether-00.network.virginmedia.net
N6307	kemp-cmts-06-gigaether-01.network.virginmedia.net
N6307	kemp-cmts-06-gigaether-10.network.virginmedia.net
N6307	kemp-cmts-06-gigaether-11.network.virginmedia.net
N6307	kemp-cmts-06-gigaether-140.network.virginmedia.net
N6307	kemp-cmts-06-gigaether-141.network.virginmedia.net
N6307	kemp-cmts-06-gigaether-150.network.virginmedia.net
N6307	kemp-cmts-06-gigaether-151.network.virginmedia.net

N6308	hitc-cmts-07-gigaether-00.network.virginmedia.net
N6308	hitc-cmts-07-gigaether-01.network.virginmedia.net
N6308	hitc-cmts-07-gigaether-10.network.virginmedia.net
N6308	hitc-cmts-07-gigaether-11.network.virginmedia.net
N6308	hitc-cmts-07-gigaether-140.network.virginmedia.net
N6308	hitc-cmts-07-gigaether-141.network.virginmedia.net
N6308	hitc-cmts-07-gigaether-150.network.virginmedia.net
N6308	hitc-cmts-07-gigaether-151.network.virginmedia.net

N6309	bigg-cmts-03-gigaether-00.network.virginmedia.net
N6309	bigg-cmts-03-gigaether-01.network.virginmedia.net
N6309	bigg-cmts-03-gigaether-10.network.virginmedia.net
N6309	bigg-cmts-03-gigaether-11.network.virginmedia.net
N6309	bigg-cmts-03-gigaether-140.network.virginmedia.net
N6309	bigg-cmts-03-gigaether-141.network.virginmedia.net
N6309	bigg-cmts-03-gigaether-150.network.virginmedia.net
N6309	bigg-cmts-03-gigaether-151.network.virginmedia.net

N6310	bele-cmts-07-gigaether-72.network.virginmedia.net
N6310	bele-cmts-07-gigaether-73.network.virginmedia.net
N6310	bele-cmts-07-gigaether-74.network.virginmedia.net
N6310	bele-cmts-07-gigaether-75.network.virginmedia.net
N6310	bele-cmts-07-gigaether-82.network.virginmedia.net
N6310	bele-cmts-07-gigaether-83.network.virginmedia.net
N6310	bele-cmts-07-gigaether-84.network.virginmedia.net
N6310	bele-cmts-07-gigaether-85.network.virginmedia.net

N6311	nail-cmts-03-gigaether-72.network.virginmedia.net
N6311	nail-cmts-03-gigaether-73.network.virginmedia.net
N6311	nail-cmts-03-gigaether-74.network.virginmedia.net
N6311	nail-cmts-03-gigaether-75.network.virginmedia.net
N6311	nail-cmts-03-gigaether-82.network.virginmedia.net
N6311	nail-cmts-03-gigaether-83.network.virginmedia.net
N6311	nail-cmts-03-gigaether-84.network.virginmedia.net
N6311	nail-cmts-03-gigaether-85.network.virginmedia.net

N6312	livi-cmts-05-gigaether-00.network.virginmedia.net
N6312	livi-cmts-05-gigaether-01.network.virginmedia.net
N6312	livi-cmts-05-gigaether-10.network.virginmedia.net
N6312	livi-cmts-05-gigaether-11.network.virginmedia.net
N6312	livi-cmts-05-gigaether-140.network.virginmedia.net
N6312	livi-cmts-05-gigaether-141.network.virginmedia.net
N6312	livi-cmts-05-gigaether-150.network.virginmedia.net
N6312	livi-cmts-05-gigaether-151.network.virginmedia.net

N6313	livi-cmts-06-gigaether-00.network.virginmedia.net
N6313	livi-cmts-06-gigaether-01.network.virginmedia.net
N6313	livi-cmts-06-gigaether-10.network.virginmedia.net
N6313	livi-cmts-06-gigaether-11.network.virginmedia.net
N6313	livi-cmts-06-gigaether-140.network.virginmedia.net
N6313	livi-cmts-06-gigaether-141.network.virginmedia.net
N6313	livi-cmts-06-gigaether-150.network.virginmedia.net
N6313	livi-cmts-06-gigaether-151.network.virginmedia.net

N6314	darl-cmts-07-gigaether-00.network.virginmedia.net
N6314	darl-cmts-07-gigaether-01.network.virginmedia.net
N6314	darl-cmts-07-gigaether-10.network.virginmedia.net
N6314	darl-cmts-07-gigaether-11.network.virginmedia.net
N6314	darl-cmts-07-gigaether-140.network.virginmedia.net
N6314	darl-cmts-07-gigaether-141.network.virginmedia.net
N6314	darl-cmts-07-gigaether-150.network.virginmedia.net
N6314	darl-cmts-07-gigaether-151.network.virginmedia.net

N6315	glfd-cmts-05-gigaether-72.network.virginmedia.net
N6315	glfd-cmts-05-gigaether-73.network.virginmedia.net
N6315	glfd-cmts-05-gigaether-74.network.virginmedia.net
N6315	glfd-cmts-05-gigaether-75.network.virginmedia.net
N6315	glfd-cmts-05-gigaether-82.network.virginmedia.net
N6315	glfd-cmts-05-gigaether-83.network.virginmedia.net
N6315	glfd-cmts-05-gigaether-84.network.virginmedia.net
N6315	glfd-cmts-05-gigaether-85.network.virginmedia.net

N6316	alde-cmts-04-gigaether-72.network.virginmedia.net
N6316	alde-cmts-04-gigaether-73.network.virginmedia.net
N6316	alde-cmts-04-gigaether-74.network.virginmedia.net
N6316	alde-cmts-04-gigaether-75.network.virginmedia.net
N6316	alde-cmts-04-gigaether-82.network.virginmedia.net
N6316	alde-cmts-04-gigaether-83.network.virginmedia.net
N6316	alde-cmts-04-gigaether-84.network.virginmedia.net
N6316	alde-cmts-04-gigaether-85.network.virginmedia.net

N6317	ely0-cmts-05-gigaether-00.network.virginmedia.net
N6317	ely0-cmts-05-gigaether-01.network.virginmedia.net
N6317	ely0-cmts-05-gigaether-10.network.virginmedia.net
N6317	ely0-cmts-05-gigaether-11.network.virginmedia.net
N6317	ely0-cmts-05-gigaether-140.network.virginmedia.net
N6317	ely0-cmts-05-gigaether-141.network.virginmedia.net
N6317	ely0-cmts-05-gigaether-150.network.virginmedia.net
N6317	ely0-cmts-05-gigaether-151.network.virginmedia.net

N6318	newp-cmts-04-gigaether-72.network.virginmedia.net
N6318	newp-cmts-04-gigaether-73.network.virginmedia.net
N6318	newp-cmts-04-gigaether-74.network.virginmedia.net
N6318	newp-cmts-04-gigaether-75.network.virginmedia.net
N6318	newp-cmts-04-gigaether-82.network.virginmedia.net
N6318	newp-cmts-04-gigaether-83.network.virginmedia.net
N6318	newp-cmts-04-gigaether-84.network.virginmedia.net
N6318	newp-cmts-04-gigaether-85.network.virginmedia.net

N6319	blac-cmts-07-gigaether-72.network.virginmedia.net
N6319	blac-cmts-07-gigaether-73.network.virginmedia.net
N6319	blac-cmts-07-gigaether-74.network.virginmedia.net
N6319	blac-cmts-07-gigaether-75.network.virginmedia.net
N6319	blac-cmts-07-gigaether-82.network.virginmedia.net
N6319	blac-cmts-07-gigaether-83.network.virginmedia.net
N6319	blac-cmts-07-gigaether-84.network.virginmedia.net
N6319	blac-cmts-07-gigaether-85.network.virginmedia.net

N6320	pres-cmts-18-gigaether-72.network.virginmedia.net
N6320	pres-cmts-18-gigaether-73.network.virginmedia.net
N6320	pres-cmts-18-gigaether-74.network.virginmedia.net
N6320	pres-cmts-18-gigaether-75.network.virginmedia.net
N6320	pres-cmts-18-gigaether-82.network.virginmedia.net
N6320	pres-cmts-18-gigaether-83.network.virginmedia.net
N6320	pres-cmts-18-gigaether-84.network.virginmedia.net
N6320	pres-cmts-18-gigaether-85.network.virginmedia.net

N6321	lich-cmts-09-gigaether-00.network.virginmedia.net
N6321	lich-cmts-09-gigaether-01.network.virginmedia.net
N6321	lich-cmts-09-gigaether-10.network.virginmedia.net
N6321	lich-cmts-09-gigaether-11.network.virginmedia.net
N6321	lich-cmts-09-gigaether-140.network.virginmedia.net
N6321	lich-cmts-09-gigaether-141.network.virginmedia.net
N6321	lich-cmts-09-gigaether-150.network.virginmedia.net
N6321	lich-cmts-09-gigaether-151.network.virginmedia.net

N6322	sotn-cmts-13-gigaether-72.network.virginmedia.net
N6322	sotn-cmts-13-gigaether-73.network.virginmedia.net
N6322	sotn-cmts-13-gigaether-74.network.virginmedia.net
N6322	sotn-cmts-13-gigaether-75.network.virginmedia.net
N6322	sotn-cmts-13-gigaether-82.network.virginmedia.net
N6322	sotn-cmts-13-gigaether-83.network.virginmedia.net
N6322	sotn-cmts-13-gigaether-84.network.virginmedia.net
N6322	sotn-cmts-13-gigaether-85.network.virginmedia.net

N6324	chfd-cmts-02-gigaether-00.network.virginmedia.net
N6324	chfd-cmts-02-gigaether-01.network.virginmedia.net
N6324	chfd-cmts-02-gigaether-10.network.virginmedia.net
N6324	chfd-cmts-02-gigaether-11.network.virginmedia.net
N6324	chfd-cmts-02-gigaether-140.network.virginmedia.net
N6324	chfd-cmts-02-gigaether-141.network.virginmedia.net
N6324	chfd-cmts-02-gigaether-150.network.virginmedia.net
N6324	chfd-cmts-02-gigaether-151.network.virginmedia.net

N6325	gran-cmts-04-gigaether-72.network.virginmedia.net
N6325	gran-cmts-04-gigaether-73.network.virginmedia.net
N6325	gran-cmts-04-gigaether-74.network.virginmedia.net
N6325	gran-cmts-04-gigaether-75.network.virginmedia.net
N6325	gran-cmts-04-gigaether-82.network.virginmedia.net
N6325	gran-cmts-04-gigaether-83.network.virginmedia.net
N6325	gran-cmts-04-gigaether-84.network.virginmedia.net
N6325	gran-cmts-04-gigaether-85.network.virginmedia.net

N6326	mapp-cmts-10-gigaether-00.network.virginmedia.net
N6326	mapp-cmts-10-gigaether-01.network.virginmedia.net
N6326	mapp-cmts-10-gigaether-10.network.virginmedia.net
N6326	mapp-cmts-10-gigaether-11.network.virginmedia.net
N6326	mapp-cmts-10-gigaether-140.network.virginmedia.net
N6326	mapp-cmts-10-gigaether-141.network.virginmedia.net
N6326	mapp-cmts-10-gigaether-150.network.virginmedia.net
N6326	mapp-cmts-10-gigaether-151.network.virginmedia.net

N6327	mapp-cmts-11-gigaether-00.network.virginmedia.net
N6327	mapp-cmts-11-gigaether-01.network.virginmedia.net
N6327	mapp-cmts-11-gigaether-10.network.virginmedia.net
